servers:	1634								
{	10640	4	1.240	23.843	23	}			
{	10641	4	1.216	23.843	21	}			
{	10642	3	65.036	39.522	47	}			
{	10643	3	77.749	47.259	57	}			
{	10644	4	1.419	24.107	47	}			
{	10645	4	1.467	24.683	57	}			
{	10646	4	1.347	18.468	35	}			
{	10647	3	115.051	69.861	88	}			
{	10648	4	1.623	25.339	112	}			
{	10649	3	61.424	37.518	41	}			
{	10650	4	1.237	15.835	203	}			
{	10651	3	22.662	13.875	16	}			
{	10652	3	37.402	22.757	32	}			
{	10653	3	41.982	25.569	35	}			
{	10654	2	0.000	0.000	1	}			
{	10655	2	0.000	0.000	1	}			
{	10656	4	1.412	20.772	51	}			
{	10657	4	1.379	23.405	43	}			
{	10658	2	0.000	0.000	1	}			
{	10659	4	1.409	9.611	45	}			
{	10660	2	0.000	0.000	1	}			
{	10661	2	0.000	0.000	1	}			
{	10662	4	1.284	22.967	31	}			
{	10663	2	0.000	0.000	1	}			
{	10664	2	0.000	0.000	1	}			
{	10665	2	0.000	0.000	1	}			
{	10666	4	1.441	18.691	237	}			
{	10667	3	81.108	49.311	70	}			
{	10668	4	1.435	16.944	53	}			
{	10669	4	1.178	14.046	19	}			
{	10670	3	41.337	25.180	32	}			
{	10671	3	10.306	6.438	6	}			
{	10672	4	1.020	6.704	10	}			
{	10673	4	1.429	6.772	39	}			
{	10674	3	10.908	6.664	8	}			
{	10675	2	0.000	0.000	1	}			
{	10676	2	0.000	0.000	1	}			
{	10677	4	1.373	13.282	39	}			
{	10678	2	0.000	0.000	0	}			
{	10679	4	1.349	20.666	38	}			
{	10680	4	1.421	18.790	50	}			
{	10681	4	1.482	19.926	65	}			
{	10682	2	0.000	0.000	1	}			
{	10683	3	50.271	30.709	37	}			
{	10684	4	1.354	16.609	36	}			
{	10685	2	0.000	0.000	1	}			
{	10686	4	1.052	9.146	12	}			
{	10687	2	0.000	0.000	1	}			
{	10688	2	0.000	0.000	1	}			
{	10689	2	0.000	0.000	1	}			
{	10690	3	29.697	18.101	23	}			
{	10691	4	1.063	14.049	13	}			
{	10692	4	1.460	25.542	63	}			
{	10693	4	1.493	8.184	52	}			
{	10694	3	48.380	29.423	40	}			
{	10695	2	0.000	0.000	5	}			
{	10696	2	0.000	0.000	6	}			
