TMV 38 1224001 DT DTZ 26340 26460 117 2
TSP 26 1224001 DTZ DTZ 26460 26460 0 2
Train 1324000 DTZ LEDN 23820 25320 _ 180 
TSP 26 1324000 DTZ DTZ 23820 23820 0 1
TMV 38 1324000 DTZ DT 23820 23892 72 1
TSP 22 1324000 DT DT 23892 23940 48 1
TMV 23 1324000 DT NGSFA 23940 24000 60 1
TSP 24 1324000 NGSFA NGSFA 24000 24000 0 1
TMV 39 1324000 NGSFA DTA 24000 24060 48 1
TSP 20 1324000 DTA DTA 24060 24060 0 4
TMV 19 1324000 DTA RSW 24060 24120 55 1
TSP 18 1324000 RSW RSW 24120 24120 0 4
TMV 17 1324000 RSW GVMW 24120 24180 50 4
TSP 16 1324000 GVMW GVMW 24180 24180 0 4
TMV 15 1324000 GVMW GV 24180 24360 148 4
TSP 14 1324000 GV GV 24360 24480 120 5
TMV 41 1324000 GV LAA 24480 24612 126 1
TSP 10 1324000 LAA LAA 24612 24660 48 4
TMV 9 1324000 LAA GVM 24660 24780 120 2
TSP 8 1324000 GVM GVM 24780 24780 0 3
TMV 7 1324000 GVM VST 24780 24960 160 3
TSP 6 1324000 VST VST 24960 24960 0 3
TMV 5 1324000 VST DVNK 24960 25020 60 3
TSP 4 1324000 DVNK DVNK 25020 25020 0 3
TMV 3 1324000 DVNK VKBR 25020 25020 0 3
TSP 2 1324000 VKBR VKBR 25020 25020 0 3
TMV 1 1324000 VKBR LEDN 25020 25200 124 1
TSP 0 1324000 LEDN LEDN 25200 25320 120 4
Train 1424001 LEDN DTZ 23280 24660 _ 180 
TSP 0 1424001 LEDN LEDN 23280 23400 120 6
TMV 1 1424001 LEDN VKBR 23400 23460 60 2
TSP 2 1424001 VKBR VKBR 23460 23460 0 2
TMV 3 1424001 VKBR DVNK 23460 23520 24 2
TSP 4 1424001 DVNK DVNK 23520 23520 0 2
TMV 5 1424001 DVNK VST 23520 23580 60 2
TSP 6 1424001 VST VST 23580 23580 0 2
TMV 7 1424001 VST GVM 23580 23760 162 2
TSP 8 1424001 GVM GVM 23760 23760 0 2
TMV 9 1424001 GVM LAA 23760 23892 86 3
TSP 10 1424001 LAA LAA 23892 23940 48 3
TMV 41 1424001 LAA GV 23940 24120 157 1
TSP 14 1424001 GV GV 24120 24180 60 3
TMV 15 1424001 GV GVMW 24180 24240 60 3
TSP 16 1424001 GVMW GVMW 24240 24240 0 2
TMV 17 1424001 GVMW RSW 24240 24300 51 1
TSP 18 1424001 RSW RSW 24300 24300 0 2
TMV 19 1424001 RSW DTA 24300 24360 51 1
TSP 20 1424001 DTA DTA 24360 24360 0 2
TMV 21 1424001 DTA DT 24360 24492 128 1
TSP 22 1424001 DT DT 24492 24540 48 2
TMV 38 1424001 DT DTZ 24540 24660 117 2
TSP 26 1424001 DTZ DTZ 24660 24660 0 2
Train 1146000 GVC LEDN 23760 25680 _ 180 
TSP 12 1146000 GVC GVC 23760 23940 180 8
TMV 11 1146000 GVC LAA 23940 24078 125 2
TSP 10 1146000 LAA LAA 24078 24120 42 2
TMV 9 1146000 LAA GVM 24120 24258 138 1
TSP 8 1146000 GVM GVM 24258 24300 42 4
TMV 7 1146000 GVM VST 24300 24498 198 4
TSP 6 1146000 VST VST 24498 24540 42 4
TMV 5 1146000 VST DVNK 24540 24678 132 1
TSP 4 1146000 DVNK DVNK 24678 24720 42 4
TMV 3 1146000 DVNK VKBR 24720 24780 51 2
TSP 2 1146000 VKBR VKBR 24780 24780 0 4
TMV 1 1146000 VKBR LEDN 24780 25020 148 2
TSP 0 1146000 LEDN LEDN 25020 25680 660 1
Train 1246001 LEDN GVC 22920 24780 _ 180 
TSP 0 1246001 LEDN LEDN 22920 23700 780 5
TMV 1 1246001 LEDN VKBR 23700 23760 60 1
TSP 2 1246001 VKBR VKBR 23760 23760 0 1
TMV 3 1246001 VKBR DVNK 23760 23838 42 1
TSP 4 1246001 DVNK DVNK 23838 23880 42 1
TMV 5 1246001 DVNK VST 23880 24018 132 1
TSP 6 1246001 VST VST 24018 24060 42 1
TMV 7 1246001 VST GVM 24060 24318 227 1
TSP 8 1246001 GVM GVM 24318 24360 42 1
TMV 9 1246001 GVM LAA 24360 24558 150 1
TSP 10 1246001 LAA LAA 24558 24600 42 1
TMV 11 1246001 LAA GVC 24600 24780 143 1
TSP 12 1246001 GVC GVC 24780 24960 180 8
Train 1346000 GVC LEDN 21960 23880 _ 180 
TSP 12 1346000 GVC GVC 21960 22140 180 8
TMV 11 1346000 GVC LAA 22140 22278 125 1
TSP 10 1346000 LAA LAA 22278 22320 42 2
TMV 9 1346000 LAA GVM 22320 22458 138 1
TSP 8 1346000 GVM GVM 22458 22500 42 4
TMV 7 1346000 GVM VST 22500 22698 198 4
TSP 6 1346000 VST VST 22698 22740 42 4
TMV 5 1346000 VST DVNK 22740 22878 132 1
TSP 4 1346000 DVNK DVNK 22878 22920 42 4
TMV 3 1346000 DVNK VKBR 22920 22980 51 2
TSP 2 1346000 VKBR VKBR 22980 22980 0 4
TMV 1 1346000 VKBR LEDN 22980 23220 148 1
TSP 0 1346000 LEDN LEDN 23220 23880 660 1
Train 1446001 LEDN GVC 24720 26580 _ 180 
TSP 0 1446001 LEDN LEDN 24720 25500 780 5
TMV 1 1446001 LEDN VKBR 25500 25560 60 1
TSP 2 1446001 VKBR VKBR 25560 25560 0 1
TMV 3 1446001 VKBR DVNK 25560 25638 42 1
TSP 4 1446001 DVNK DVNK 25638 25680 42 1
TMV 5 1446001 DVNK VST 25680 25818 132 2
TSP 6 1446001 VST VST 25818 25860 42 1
TMV 7 1446001 VST GVM 25860 26118 227 1
TSP 8 1446001 GVM GVM 26118 26160 42 1
TMV 9 1446001 GVM LAA 26160 26358 150 1
TSP 10 1446001 LAA LAA 26358 26400 42 1
TMV 11 1446001 LAA GVC 26400 26580 143 1
TSP 12 1446001 GVC GVC 26580 26760 180 8
Train 1150000 DTZ GVC 21678 22920 _ 180 
TSP 18 1150000 DTZ DTZ 21678 21720 42 1
